VBELN;POSNR;FKART;FKDAT;VKORG;SPART;KUNAG;WAERK;BUKRS;VBTYP;RFBSK;FKSTO;SFAKN;ERDAT;MATNR;ARKTX;FKIMG;NETWR;MWSBP;WERKS;MATKL;PSTYV;AUBEL;CHARG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO;SELLER_RUT;SELLER_EMAIL
0900074583;000010;ZNCA;20250728;1000;C0;76114406-5;CLP;1000;O;C;;;20250728;000000000000016138;CR T440 4X2 E5;1.000;1054541.25;200362.84;1SA1;0034;REN;0060242497;1435220001;;;;;
0900259503;000010;ZAUT;20251124;1000;S0;77248290-6;CLP;1000;M;C;;;20251124;000000000000962243;TAOS TSI 1.4 AT;1.000;396.44;75.32;1SA0;0031;ZTAN;0004996036;0000201779;;;;;
0096629102;000010;ZNCA;20241111;1000;A0;7793624-6;CLP;1000;O;C;;;20241111;000000000001000305;4RUNNER 4X4 LTD-63430 CONNECTED;1.000;409550.00;77814.50;1WT0;0010;REN;0060228521;0000253273;;;;;
0096178288;000030;ZFTC;20240115;1000;N1;76738283-9;USD;1000;M;C;;;20240115;000000000000743238;205/45 R 17 SA57 88W;4.000;175.94;0.00;1IQ9;0016;ZTAN;0004312315;003702009;;;;;
0096194382;000010;ZSNB;20240125;1000;N1;76176916-2;CLP;1000;M;C;;;20240125;000000000000911749;215/70 R 16C RY55 108/106S 6PR LOTE;4.000;3327.24;632.18;1LS0;0014;ZNSE;0004324004;0000238768;;;;;
0096349007;000010;ZAUT;20240430;1000;A0;18182568-5;CLP;1000;M;C;;;20240430;000000000001019084;TIGGO 3 PRO GLX MT;1.000;103966.39;19753.61;1CA0;0121;ZTAN;0004423449;0000244113;;;;;
0096353462;000010;ZAUT;20240506;1000;A0;7813588-3;CLP;1000;M;C;;;20240506;000000000001019084;TIGGO 3 PRO GLX MT;1.000;120840.34;22959.66;1AN3;0121;ZTAN;0004423476;0000244117;;;;;
0096358069;000010;ZSNB;20240508;1000;N1;76020993-7;CLP;1000;M;C;;;20240508;000000000000903112;320/90 R 46 AGRIMAX BKT TL;2.000;24775.12;4707.27;1TE0;0177;ZNSE;0004430114;0000244846;;;;;
0096370802;000010;ZAUT;20240516;1000;A0;26014088-4;CLP;1000;M;C;;;20240516;000000000001019084;TIGGO 3 PRO GLX MT;1.000;93277.31;17722.69;1AN3;0121;ZTAN;0004438633;0000244669;;;;;
0096376078;000010;ZAUT;20240522;1000;A0;76876554-5;CLP;1000;M;C;;;20240522;000000000001018500;TAHOE Z71 5.3L AT 4WD R OnStar;1.000;573865.55;109034.45;1SA0;0003;ZTAN;0004441939;0000243420;;;;;
0096383672;000010;ZAUT;20240527;1000;A0;18962364-K;CLP;1000;M;C;;;20240527;000000000001019084;TIGGO 3 PRO GLX MT;1.000;103176.47;19603.53;1AN3;0121;ZTAN;0004424940;0000244670;;;;;
0096276037;000010;ZZBN;20240318;1000;N1;998-9;CLP;1000;M;C;;;20240318;000000000000822443;SMF 55565 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004377256;2335003703;;;;;
0096279670;000010;ZZBN;20240319;1000;N1;888-5;CLP;1000;M;C;;;20240319;000000000000754790;SMF 56219 62AH 550CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004379789;2338000004;;;;;
0096306578;000010;ZZBN;20240404;1000;N1;998-9;CLP;1000;M;C;;;20240404;000000000000822443;SMF 55565 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004395931;2335003703;;;;;
0096312172;000010;ZZBN;20240409;1000;N1;998-9;CLP;1000;M;C;;;20240409;000000000000822443;SMF 55565 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004399768;2335003703;;;;;
